DataVenda,Produto,Categoria,Quantidade,PrecoUnitario,TotalVenda,FormaPagamento
2025-04-20,Cerveja Lata 350ml,Bebidas,abc,3.0,,Cartão
2025-04-02,Leite Integral,Bebidas,1,4.2,4.2,PIX
2025-04-13,Desinfetante 1L,Limpeza,9,3.5,31.5,Débito
2025-04-03,Coca Cola 2L,Bebidas,-3,7.0,-21.0,PIX
2025-04-11,Açúcar 1kg,Alimentos,-5,4.0,-20.0,cartao
2025-04-10,Macarrão 500g,Alimentos,-5,3.2,-16.0,Crédito
2025-04-24,Detergente,Limpeza,-3,1.9,-5.699999999999999,Débito
2025-04-19,Arroz 5kg,Alimentos,-2,22.5,-45.0,Débito
2025-04-19,Desinfetante 1L,Limpeza,abc,3.5,,Pix
2025-04-11,Detergente,Limpeza,5,1.9,9.5,Débito
2025-04-14,Banana,Alimentos,abc,3.0,,Dinheiro
2025-04-01,Coca Cola 2L,Bebidas,10,7.0,70.0,cartao
2025-04-01,Feijão 1kg,Alimentos,-4,7.5,-30.0,Crédito
2025-04-06,Leite Integral,Bebidas,abc,4.2,,PIX
2025-04-01,Cerveja Lata 350ml,Bebidas,-5,3.0,-15.0,PIX
2025-04-14,Coca Cola 2L,Bebidas,7,7.0,49.0,Cartão
2025-04-09,Detergente,Limpeza,abc,1.9,,Crédito
2025-04-27,Refrigerante Guaraná 2L,Bebidas,4,6.8,27.2,PIX
2025-04-18,Banana,Alimentos,-2,3.0,-6.0,Dinheiro
2025-04-09,Arroz 5kg,Alimentos,10,22.5,225.0,cartao
2025-04-13,Arroz 5kg,Alimentos,-3,22.5,-67.5,Pix
2025-04-18,Banana,Alimentos,abc,3.0,,Pix
2025-04-18,Sabão em pó 1kg,Limpeza,-3,9.0,-27.0,cartao
2025-04-16,Sabão em pó 1kg,Limpeza,4,9.0,36.0,PIX
2025-04-12,Arroz 5kg,Alimentos,abc,22.5,,Pix
2025-04-20,Sabão em pó 1kg,Limpeza,4,9.0,36.0,Pix
2025-04-02,Refrigerante Guaraná 2L,Bebidas,6,6.8,40.8,Crédito
2025-04-19,Macarrão 500g,Alimentos,-1,3.2,-3.2,cartao
2025-04-28,Sabão em pó 1kg,Limpeza,4,9.0,36.0,Cartão
2025-04-27,Refrigerante Guaraná 2L,Bebidas,-5,6.8,-34.0,Cartão
2025-04-13,Arroz 5kg,Alimentos,6,22.5,135.0,cartao
2025-04-28,Desinfetante 1L,Limpeza,10,3.5,35.0,Cartão
2025-04-15,Sabão em pó 1kg,Limpeza,-4,9.0,-36.0,cartao
2025-04-01,,Alimentos,-5,3.2,-16.0,Crédito
2025-04-20,Arroz 5kg,Alimentos,9,22.5,202.5,Débito
2025-04-16,Macarrão 500g,Alimentos,8,3.2,25.6,cartao
2025-04-02,Cerveja Lata 350ml,Bebidas,abc,3.0,,Cartão
2025-04-10,Coca Cola 2L,Bebidas,-4,7.0,-28.0,Pix
2025-04-07,Feijão 1kg,Alimentos,abc,7.5,,Dinheiro
2025-04-28,Detergente,Limpeza,abc,1.9,,Cartão
2025-04-19,Cerveja Lata 350ml,Bebidas,abc,3.0,,Crédito
2025-04-23,Coca Cola 2L,Bebidas,-4,7.0,-28.0,Crédito
2025-04-21,Leite Integral,Bebidas,-4,4.2,-16.8,PIX
